,id,network,size,query,evidence,method,prune,heuristic,result,time
64,10d7bb05-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'd']",{'g': False},map,True,fill,"{'p': {0: 0.15, 1: 0.15}, 'a': {0: True, 1: True}, 'd': {0: False, 1: True}}",0.11962922898237593
65,10d7bb06-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'd']",{'g': False},map,False,fill,"{'p': {0: 0.15, 1: 0.15}, 'a': {0: True, 1: True}, 'd': {0: False, 1: True}}",0.21224765200167894
66,10d7bb07-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'd']",{'g': False},map,True,degree,"{'p': {0: 0.15}, 'd': {0: True}, 'a': {0: True}}",0.11875328098540194
67,10d7bb08-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'd']",{'g': False},map,False,degree,"{'p': {0: 0.15}, 'd': {0: True}, 'a': {0: True}}",0.21341881298576482
68,10d7bb09-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'd']",{'g': False},mpe,True,fill,"{'p': {0: 0.075}, 'a': {0: True}, 'c': {0: True}, 'f': {0: True}, 'g': {0: False}}",0.03381817298941314
69,1212c6be-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'd']",{'g': False},mpe,False,fill,"{'p': {0: 0.001171875, 1: 0.001171875}, 'a': {0: True, 1: True}, 'e': {0: True, 1: True}, 'f': {0: True, 1: True}, 'g': {0: False, 1: False}, 'b': {0: True, 1: True}, 'c': {0: True, 1: True}, 'h': {0: True, 1: True}, 'd': {0: True, 1: True}, 'i': {0: True, 1: True}, 'j': {0: False, 1: True}}",0.09412980600609444
70,1212c6bf-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'd']",{'g': False},mpe,True,degree,"{'p': {0: 0.075}, 'c': {0: True}, 'g': {0: False}, 'f': {0: True}, 'a': {0: True}}",0.032817600993439555
71,1212c6c0-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'd']",{'g': False},mpe,False,degree,"{'p': {0: 0.001171875}, 'e': {0: True}, 'd': {0: True}, 'g': {0: False}, 'f': {0: True}, 'b': {0: True}, 'j': {0: True}, 'c': {0: True}, 'i': {0: True}, 'h': {0: True}, 'a': {0: True}}",0.10879552102414891
72,1212c6c1-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'d': True},map,True,fill,"{'p': {0: 0.3}, 'a': {0: True}}",0.07427234100759961
73,1212c6c2-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'d': True},map,False,fill,"{'p': {0: 0.3}, 'a': {0: True}}",0.20611771999392658
